Customer_ID,Customer_Name,City,Account_Type,Open_Date,Balance,Deposit_Amount,Withdrawal_Amount,Loan_Amount,Credit_Score
1,Customer_1,Delhi,Current,17-05-2024,299426,8271,33432,200000,791
2,Customer_2,Patna,Savings,29-10-2025,200027,27519,12302,200000,771
3,Customer_3,Noida,Savings,14-09-2025,400654,276,58377,300000,602
4,Customer_4,Jaipur,Savings,21-11-2024,17037,2925,3335,200000,660
5,Customer_5,Mumbai,Current,08-03-2025,381555,3806,69157,200000,833
6,Customer_6,Patna,Current,26-08-2024,182246,30260,28676,0,763
7,Customer_7,Mumbai,Current,23-07-2025,484492,84186,13107,0,720
8,Customer_8,Jaipur,Savings,27-05-2025,491964,55326,66547,100000,695
9,Customer_9,Patna,Savings,24-08-2025,463673,65452,66228,200000,674
10,Customer_10,Noida,Current,17-02-2025,218219,87129,22676,0,774
11,Customer_11,Lucknow,Current,10-11-2025,267561,14146,21456,100000,800
12,Customer_12,Jaipur,Current,31-01-2024,247058,5699,40439,50000,636
13,Customer_13,Lucknow,Savings,29-05-2025,119980,1612,26151,200000,813
14,Customer_14,Patna,Current,18-12-2024,445313,75732,46304,300000,861
15,Customer_15,Mumbai,Savings,06-01-2024,202163,97059,67174,200000,578
16,Customer_16,Lucknow,Savings,07-05-2025,457135,47806,74710,300000,761
17,Customer_17,Noida,Savings,11-05-2025,427430,46765,54319,300000,826
18,Customer_18,Patna,Savings,30-09-2025,413323,80275,43402,50000,875
19,Customer_19,Delhi,Current,30-06-2024,289754,76606,23695,0,894
20,Customer_20,Delhi,Current,13-03-2024,44638,2187,59375,50000,687
21,Customer_21,Noida,Current,22-04-2024,419008,81894,24197,0,635
22,Customer_22,Jaipur,Current,12-06-2024,134806,69124,22039,100000,782
23,Customer_23,Delhi,Current,25-11-2024,261305,62098,14967,200000,725
24,Customer_24,Delhi,Current,07-03-2025,418439,24646,33871,300000,657
25,Customer_25,Delhi,Current,12-09-2025,227311,2728,29540,50000,568
26,Customer_26,Jaipur,Current,13-06-2024,234658,92354,66362,300000,662
27,Customer_27,Patna,Savings,07-10-2025,419282,91101,67711,300000,882
28,Customer_28,Noida,Current,01-02-2024,208040,88460,75477,0,702
29,Customer_29,Delhi,Savings,08-05-2024,112218,6218,40158,100000,702
30,Customer_30,Mumbai,Savings,11-06-2024,219194,74047,33077,300000,569
31,Customer_31,Patna,Savings,27-08-2025,430608,28520,74747,300000,810
32,Customer_32,Delhi,Savings,08-02-2024,199164,26267,45472,300000,895
33,Customer_33,Delhi,Current,19-03-2025,311068,25443,64533,100000,808
34,Customer_34,Noida,Savings,26-05-2025,10017,42643,52733,50000,652
35,Customer_35,Noida,Current,01-12-2024,426270,73838,17713,50000,686
36,Customer_36,Noida,Current,21-11-2025,51544,49706,71778,300000,670
37,Customer_37,Mumbai,Savings,07-03-2024,381352,5295,11099,50000,825
38,Customer_38,Lucknow,Current,06-08-2024,141514,99498,43546,100000,723
39,Customer_39,Lucknow,Current,14-12-2024,60723,38170,30826,50000,846
40,Customer_40,Delhi,Current,18-07-2025,404834,13667,42038,0,744
41,Customer_41,Delhi,Current,30-05-2024,435375,16386,44682,0,842
42,Customer_42,Noida,Current,17-07-2025,118290,74182,10714,100000,838
43,Customer_43,Noida,Savings,01-07-2025,486001,14983,60000,0,701
44,Customer_44,Delhi,Current,13-01-2024,322743,87872,1906,0,570
45,Customer_45,Mumbai,Savings,11-07-2024,126636,76912,55183,200000,635
46,Customer_46,Patna,Current,28-11-2025,127573,20833,13478,300000,700
47,Customer_47,Noida,Savings,17-07-2025,133859,93272,62522,50000,883
48,Customer_48,Noida,Current,21-11-2024,21772,3573,1377,200000,750
49,Customer_49,Noida,Current,16-11-2024,209957,8252,8413,0,678
50,Customer_50,Jaipur,Current,08-08-2024,412637,80977,71160,100000,682
51,Customer_51,Mumbai,Savings,06-07-2024,284955,27241,40281,100000,591
52,Customer_52,Delhi,Current,14-10-2024,47879,98734,58707,50000,749
53,Customer_53,Noida,Current,10-11-2024,22523,42892,24485,50000,721
54,Customer_54,Lucknow,Savings,13-04-2024,286330,80136,75888,50000,662
55,Customer_55,Delhi,Current,21-01-2024,424762,31950,52661,300000,586
56,Customer_56,Noida,Current,17-03-2024,12279,83280,1299,200000,790
57,Customer_57,Delhi,Savings,06-06-2024,53918,65723,43003,50000,626
58,Customer_58,Delhi,Current,24-05-2024,431728,41914,40058,50000,655
59,Customer_59,Noida,Savings,25-05-2024,286995,94716,4162,50000,703
60,Customer_60,Jaipur,Savings,19-03-2025,282800,20695,6364,100000,582
61,Customer_61,Noida,Current,29-11-2025,235196,56383,71993,300000,782
